,Tourist Spots,Latitude,Longitude,Location,Type
10,Gola Dhoro,23.05,70.61666666666666,,Archaeological Site
11,Hazira Maqbara,22.266666666666666,73.2,,Archaeological Site
12,Kaleshwari Group of Monuments,23.316666666666666,73.58333333333333,,Archaeological Site
13,Kerala-no-dhoro,21.35,72.05,,Archaeological Site
14,Khirasara,23.1,69.01666666666667,,Archaeological Site
15,Kuntasi,22.9,70.58333333333333,,Archaeological Site
16,Magderu,22.283333333333335,69.05,,Archaeological Site
18,Nagwada,23.333333333333332,71.68333333333334,,Archaeological Site
20,Pabumath,23.616666666666667,70.51666666666667,,Archaeological Site
21,Pindara Group of Temples,22.25,69.25,,Archaeological Site
22,"Pindara, Gujarat",22.233333333333334,69.25,,Archaeological Site
23,Piram Island,21.598333333333333,72.35333333333334,,Archaeological Site
25,Rajgadhi Timbo,23.766666666666666,72.55,,Archaeological Site
26,"Rangpur, Gujarat",22.433333333333334,71.91666666666667,,Archaeological Site
27,Roda Group of Temples,23.65,73.06666666666666,,Archaeological Site
28,Rojdi,22.25,70.66666666666667,,Archaeological Site
30,Vejalka,22.25,71.85,,Archaeological Site
31,Loteshwar,23.6,71.83333333333333,,Archaeological Site
32,Lothal,22.516666666666666,72.23333333333333,,Archaeological Site
33,Sarkhej,22.983333333333334,72.5,,Archaeological Site
34,Sarkhej Roza,22.983333333333334,72.5,,Archaeological Site
35,"Shikarpur, Gujarat",23.233333333333334,70.66666666666667,,Archaeological Site
36,Surat Castle,21.183333333333334,72.81666666666666,,Archaeological Site
37,Surkotada,23.883333333333333,70.2,,Archaeological Site
38,Dumas Beach,21.066666666666666,72.7,,Beach
39,Suvali Beach,21.15,72.63333333333334,,Beach
40,Ahmedpur Mandvi Beach,20.733333333333334,71.01666666666667,,Beach
41,Bet Dwarka,22.433333333333334,69.11666666666666,,Beach
43,Gopnath Beach,21.2,72.1,,Beach
44,Tithal Beach,20.583333333333332,72.88333333333334,,Beach
45,Umargam,20.166666666666668,72.76666666666667,,Beach
47,Bava Pyara Caves,21.516666666666666,70.46666666666667,,Archaeological Site
48,Dhank Caves,21.833333333333332,70.08333333333333,,Archaeological Site
50,Kadia Dungar Caves,21.666666666666668,73.26666666666667,,Archaeological Site
51,Khambhalida Caves,21.766666666666666,70.7,,Archaeological Site
52,Khapra Kodiya Caves,21.516666666666666,70.46666666666667,,Archaeological Site
53,Sana Caves,20.95,71.2,,Archaeological Site
54,Siyot Caves,23.766666666666666,68.86666666666666,,Archaeological Site
55,Talaja Caves,21.35,72.01666666666667,,Archaeological Site
57,Uparkot Caves,21.516666666666666,70.46666666666667,,Archaeological Site
58,Champaner-Pavagadh Archaeological Park,22.483333333333334,73.53333333333333,,Archaeological Site
59,Sakar Khan mausoleum,22.466666666666665,73.51666666666667,,Archaeological Site
60,Bawaman Mosque,22.483333333333334,73.53333333333333,,Archaeological Site
61,Champaner,22.483333333333334,73.53333333333333,,Archaeological Site
62,"Jama Mosque, Champaner",22.483333333333334,73.53333333333333,,Archaeological Site
63,"Kalika Mata Temple, Pavagadh",22.45,73.5,,Archaeological Site
64,Kevada Mosque,22.483333333333334,73.53333333333333,,Archaeological Site
65,Lila Gumbaj Ki Mosque,22.483333333333334,73.53333333333333,,Archaeological Site
67,Nagina Mosque,22.483333333333334,73.53333333333333,,Archaeological Site
68,Pavagadh Hill,22.466666666666665,73.5,,Archaeological Site
69,Pavagadh ropeway,22.466666666666665,73.51666666666667,,Archaeological Site
70,Bhadra Fort,23.016666666666666,72.56666666666666,,Archaeological Site
71,Bhujia Fort,23.233333333333334,69.68333333333334,,Archaeological Site
72,Kanthkot Fort,23.483333333333334,70.45,,Archaeological Site
74,Manek Burj,23.016666666666666,72.56666666666666,,Archaeological Site
75,Pavagadh,22.466666666666665,73.5,,Archaeological Site
76,Roha Fort,23.2,69.26666666666667,,Archaeological Site
77,Rupgadh Fort,20.95,73.58333333333333,,Archaeological Site
78,Sindri Fort,24.05,69.05,,Archaeological Site
81,Uparkot Fort,21.516666666666666,70.46666666666667,,Archaeological Site
82,"Don, Dang",20.7,73.81666666666666,,Hill Station
83,Pavagadh,22.466666666666665,73.5,,Hill Station
84,Saputara,20.566666666666666,73.73333333333333,,Hill Station
85,"Wilson Hills, Gujarat",20.5,73.35,,Hill Station
